2022-01-20 15:48:17,501 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:48:53,310 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:49:29,483 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:50:07,994 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:51:30,556 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:52:25,130 INFO    MainThread:36106 [wandb_watch.py:watch():43] Watching
2022-01-20 15:53:15,475 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:53:15,476 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 15:53:26,214 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 15:53:26,215 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:53:26,216 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 15:53:40,720 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 15:53:40,760 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:53:40,760 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 15:58:12,454 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 15:58:12,485 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:58:12,485 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 15:58:19,376 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 15:58:19,393 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:58:19,394 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 15:58:49,977 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 15:58:51,685 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
2022-01-20 15:58:51,685 INFO    MainThread:36106 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-01-20 16:00:14,663 INFO    MainThread:36106 [wandb_init.py:_resume_backend():293] resuming backend
2022-01-20 16:00:14,719 INFO    MainThread:36106 [wandb_init.py:_pause_backend():284] pausing backend
